Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,50,gamma4_2,-0.19,29.775428,262.156764,26.481832,29.965428,15771.28,262.531538,0.8941,0.0941,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B12_1,0.45,0.159114,0.158785,0.01604,-0.290886,-64.64,0.331014,,,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,B12_2,0.22,0.094092,0.115474,0.011665,-0.125908,-57.23,0.170444,,,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,Q2d_1,0.16,0.041109,0.105964,0.010704,-0.118891,-74.31,0.158899,,,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,Q2d_2,0.12,0.03391,0.054085,0.005463,-0.08609,-71.74,0.101523,,,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,P2,0.2,0.661025,0.12962,0.013094,0.461025,230.51,0.478721,,,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,LogLikelihood,,-3.6744,0.038,,,,,,,98,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,100,50,ConvergenceRate,,0.98,,,,,,,,100,-3.6744,0.5024,0.5274,0.6056,0.7136,0.5185,0.6244,0.5882,0.4552,0.5493,0.6654,0.7524,0.4273,0.8045,0.7264,0.7387,0.7387
two_stage,50,50,gamma1,3.5,2.94672,10.397827,1.045021,-0.55328,-15.81,10.359964,0.9691,0.3093,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
