Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,50,25,B22_1,-0.92,-0.264954,0.420673,0.042279,0.655046,71.2,0.777344,0.1515,0.7273,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B22_2,-0.45,-0.082845,0.193145,0.019412,0.367155,81.59,0.414404,0.1313,0.4242,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B31d_1,0.33,0.796586,0.357984,0.035979,0.466586,141.39,0.586993,0.0202,0.9697,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B31d_2,0.15,0.823585,0.454799,0.045709,0.673585,449.06,0.811462,0.1212,0.9091,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B32d_1,0.31,0.741801,0.234838,0.023602,0.431801,139.29,0.490962,0.1616,0.8586,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B32d_2,0.69,0.945467,0.09729,0.009778,0.255467,37.02,0.273191,0.1414,0.899,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B41d_1,0.11,0.014017,0.21779,0.021889,-0.095983,-87.26,0.236994,0.5455,0.3636,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B41d_2,-0.3,-0.043567,0.186875,0.018782,0.256433,85.48,0.316744,0.1818,0.0909,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B42d_1,0.57,0.190324,0.189118,0.019007,-0.379676,-66.61,0.423743,0.1616,0.7475,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B42d_2,0.01,0.014678,0.057058,0.005735,0.004678,46.78,0.056961,0.9596,0.0909,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,Q1d_1,0.08,0.048045,0.017797,0.001789,-0.031955,-39.94,0.036533,1.0,0.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,Q1d_2,0.05,0.044048,0.008861,0.000891,-0.005952,-11.9,0.010637,1.0,0.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,R1d_1,0.23,0.25927,0.017064,0.001715,0.02927,12.73,0.033838,1.0,1.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,R1d_2,0.21,0.239559,0.016575,0.001666,0.029559,14.08,0.033848,1.0,0.9798,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,R1d_3,0.16,0.175141,0.009697,0.000975,0.015141,9.46,0.017954,1.0,0.6364,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,R1d_4,0.61,0.622522,0.024145,0.002427,0.012522,2.05,0.02709,1.0,1.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,R2d_1,0.82,1.849078,3.207957,0.322412,1.029078,125.5,3.353511,1.0,0.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,R2d_2,0.73,1.123346,2.025225,0.203543,0.393346,53.88,2.053005,1.0,0.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,gamma2,-1.17,-6.166879,19.680675,1.977982,-4.996879,-427.08,20.208547,0.9684,0.0105,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,gamma3_1,0.26,-29.140598,139.766214,14.047033,-29.400598,-11307.92,142.132582,1.0,0.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,gamma3_2,-0.83,-15.344386,63.796145,6.411754,-14.514386,-1748.72,65.111481,1.0,0.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,gamma4_1,-0.74,1.860535,104.254896,10.478011,2.600535,351.42,103.759613,1.0,0.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,gamma4_2,-0.19,0.541247,64.98948,6.531689,0.731247,384.87,64.664552,0.9894,0.0,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B12_1,0.45,0.229694,0.201606,0.020262,-0.220306,-48.96,0.297942,,,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,B12_2,0.22,0.116996,0.137374,0.013807,-0.103004,-46.82,0.171146,,,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,Q2d_1,0.16,0.037618,0.034987,0.003516,-0.122382,-76.49,0.127236,,,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,Q2d_2,0.12,0.048763,0.020794,0.00209,-0.071237,-59.36,0.07418,,,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,P2,0.2,0.710794,0.197535,0.019853,0.510794,255.4,0.547299,,,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,LogLikelihood,,-3.7421,0.0386,,,,,,,99,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,25,ConvergenceRate,,0.99,,,,,,,,100,-3.7421,0.6636,0.7288,0.431,0.8475,0.7283,0.7592,0.7691,0.3499,0.9829,0.8205
two_stage,50,50,gamma1,1.48,-4.21193,17.837411,1.801851,-5.69193,-384.59,18.636647,0.8444,0.2222,98,-3.6847,0.6909,0.7239,0.4389,0.923,0.757,0.7545,0.7561,0.3333,0.997,0.817
two_stage,50,50,B11_1,-0.05,0.023367,0.115388,0.011656,0.073367,146.73,0.13624,0.051,0.6837,98,-3.6847,0.6909,0.7239,0.4389,0.923,0.757,0.7545,0.7561,0.3333,0.997,0.817
two_stage,50,50,B11_2,-0.06,0.017042,0.061303,0.006193,0.077042,128.4,0.09826,0.102,0.7857,98,-3.6847,0.6909,0.7239,0.4389,0.923,0.757,0.7545,0.7561,0.3333,0.997,0.817
two_stage,50,50,B21_1,-0.87,-0.05675,0.260583,0.026323,0.81325,93.48,0.853573,0.0408,0.6633,98,-3.6847,0.6909,0.7239,0.4389,0.923,0.757,0.7545,0.7561,0.3333,0.997,0.817
two_stage,50,50,B21_2,-0.77,-0.063343,0.128712,0.013002,0.706657,91.77,0.718165,0.0816,0.4286,98,-3.6847,0.6909,0.7239,0.4389,0.923,0.757,0.7545,0.7561,0.3333,0.997,0.817
two_stage,50,50,B22_1,-0.92,-0.244884,0.367718,0.037145,0.675116,73.38,0.767866,0.1429,0.8265,98,-3.6847,0.6909,0.7239,0.4389,0.923,0.757,0.7545,0.7561,0.3333,0.997,0.817
two_stage,50,50,B22_2,-0.45,-0.081861,0.134192,0.013555,0.368139,81.81,0.391599,0.102,0.5306,98,-3.6847,0.6909,0.7239,0.4389,0.923,0.757,0.7545,0.7561,0.3333,0.997,0.817
two_stage,50,50,B31d_1,0.33,0.772376,0.477056,0.04819,0.442376,134.05,0.648812,0.0918,0.9082,98,-3.6847,0.6909,0.7239,0.4389,0.923,0.757,0.7545,0.7561,0.3333,0.997,0.817
two_stage,50,50,B31d_2,0.15,0.75934,0.747702,0.075529,0.60934,406.23,0.961587,0.125,0.875,98,-3.6847,0.6909,0.7239,0.4389,0.923,0.757,0.7545,0.7561,0.3333,0.997,0.817
